permit_number,parcel_identifier,source_system,issuing_agency,improvement_status,permit_issue_date,days_open,contractor_name,contractor_phone,contractor_license,bbb_rating,address_street,address_zip,latitude,longitude,source_url
99-36,16263000U000220000,osceola_appraiser,,open,1998-10-06,10198,,,,,4001 NOLTE RD,34772,28.22751833721168,-81.31345192667725,https://www.property-appraiser.org/data/
98-3642,15252900U000710000,osceola_appraiser,,open,1998-10-27,10177,,,,,333 W COLUMBIA AVE,34741,28.308869562482386,-81.40668146465394,https://www.property-appraiser.org/data/
97 2733,282529163000010680,osceola_appraiser,,open,1998-11-04,10169,,,,,1219 CLAY ST,34741,28.285607859419123,-81.41688917817189,https://www.property-appraiser.org/data/
98-4070,15252900U000710000,osceola_appraiser,,open,1998-12-07,10136,,,,,333 W COLUMBIA AVE,34741,28.308869562482386,-81.40668146465394,https://www.property-appraiser.org/data/
99-783,15252900U000710000,osceola_appraiser,,open,1999-04-07,10015,,,,,333 W COLUMBIA AVE,34741,28.308869562482386,-81.40668146465394,https://www.property-appraiser.org/data/
02-1962,012630000102580030,osceola_appraiser,,open,2002-06-05,8860,,,,,2501 13TH ST,34769,28.245628435898432,-81.29730846268443,https://www.property-appraiser.org/data/
03-1599,1626300757000100C0,osceola_appraiser,,open,2003-04-22,8539,,,,,3121 CRESTWOOD CIR,34769,28.2301372878995,-81.31467619007512,https://www.property-appraiser.org/data/
03-1710,012630000101640190,osceola_appraiser,,open,2003-04-30,8531,,,,,1007 FLORIDA AVE,34769,28.248549107741685,-81.2809169647,https://www.property-appraiser.org/data/
04-359,012630000102530030,osceola_appraiser,,open,2003-11-07,8340,,,,,2001 13TH ST,34769,28.245687634448963,-81.29171754172805,https://www.property-appraiser.org/data/
1531,1626300775000C0040,osceola_appraiser,,open,2004-03-26,8200,,,,,4406 TEKA LN,34772,28.226081430660308,-81.31814403245309,https://www.property-appraiser.org/data/
BP-0405667,152529149000010060,osceola_appraiser,,open,2004-11-12,7969,,,,,323 W CYPRESS ST,34741,28.305968951927746,-81.40737834190257,https://www.property-appraiser.org/data/
16-00003050,012630000101870240,osceola_appraiser,City of St. Cloud,open,2016-06-23,3728,,,,,1101 NEW YORK AVE,34769,28.24782781207298,-81.28336004935605,https://www.property-appraiser.org/data/
BP-18-03939,052529218300011540,osceola_appraiser,City of Kissimmee,open,2018-10-19,2880,WHITE ALUMINUM PRODUCTS,,,,3224 RIVER BRANCH CIR,34741,28.342273308954365,-81.43768379336672,https://www.property-appraiser.org/data/
BP-19-00547,152529141900010010,osceola_appraiser,City of Kissimmee,open,2019-02-26,2750,MCENANY ROOFING INC,,,,2450 N ORANGE BLOSSOM TRL,34744,28.315351284830847,-81.40421722406907,https://www.property-appraiser.org/data/
BP-21-00827,292529146900010730,osceola_appraiser,Osceola County,open,2021-03-17,2000,,,,,3440 PALMER DR,34741,28.28163281532848,-81.44027761180524,https://www.property-appraiser.org/data/
P21-010386,192631495000010935,osceola_appraiser,Osceola County,open,2022-01-30,1681,,,,,3067 RAMBLER,34772,28.20664640062881,-81.2499409204532,https://www.property-appraiser.org/data/
BC-22-0139,242528155100010010,osceola_appraiser,Osceola County,open,2022-03-11,1641,,,,,4444 W VINE ST,34746,28.302314977874268,-81.4589219421782,https://www.property-appraiser.org/data/
A22-004506,2526286180000E0021,osceola_appraiser,Osceola County,open,2022-05-17,1574,,,,,1700 AVENUE B,34758,28.25530144668455,-81.49136102760988,https://www.property-appraiser.org/data/
A22-007716,302530496000010075,osceola_appraiser,Osceola County,open,2022-08-24,1475,,,,,2411 IRLO BRONSON MEM E,34744,28.28182322362184,-81.34508333497357,https://www.property-appraiser.org/data/
P22-013259,072629447000010250,osceola_appraiser,Osceola County,open,2023-01-27,1319,,,,,3200 HARBOR,34746,28.234168266098063,-81.43574555131262,https://www.property-appraiser.org/data/
BC-23-0191,23252917080001004A,osceola_appraiser,Osceola County,open,2023-04-11,1245,,,,,1312 E VINE ST,34744,28.302419359672353,-81.38979879846529,https://www.property-appraiser.org/data/
